user,total_emails,total_attachments,avg_email_size,off_hour_emails,weekend_emails,employee_name,user_id,O,C,E,A,N,anomaly_label,anomaly_flag,anomaly_score
CQH0730,5068,1005,30003.436069455405,721,0,Cassady Quincy Hampton,CQH0730,21,18,37,49,27,1,0,0.11474690740902266
CQW0652,974,0,30414.46406570842,211,0,Chastity Quyn Wilkerson,CQW0652,10,22,48,20,33,1,0,0.08040777790515724
CRD0624,638,140,30184.83699059561,76,0,Christine Reagan Deleon,CRD0624,26,22,17,39,32,1,0,0.15104983634059888
CRK0916,3363,695,29900.409158489445,562,0,Chandler Raymond Kirk,CRK0916,32,46,26,19,32,1,0,0.15588039778321022
CRO0027,3037,1658,30120.913401382943,0,0,Cathleen Risa Oneal,CRO0027,19,30,28,46,26,1,0,0.12065507200131576
CRP0456,335,279,30152.34328358209,40,0,Cade Rajah Patterson,CRP0456,37,41,28,43,30,1,0,0.15521299735997557
CSB0080,3715,0,30023.061641991924,531,0,Catherine Savannah Bullock,CSB0080,35,19,39,34,36,1,0,0.15992089468613818
CSC0217,1158,0,29798.45336787565,285,0,Cathleen Samantha Craig,CSC0217,40,15,30,38,28,1,0,0.1411930732185671
CSH0626,5340,3215,29980.599812734083,873,520,Colin Stuart Holloway,CSH0626,33,17,41,18,23,1,0,0.04479076623041989
CSJ0340,1017,356,30519.8534906588,158,0,Charity Stacey Jennings,CSJ0340,45,24,19,38,25,1,0,0.11790931221600826
CSL0949,338,0,29402.044378698225,66,0,Cameron Shay Lester,CSL0949,36,20,18,25,28,1,0,0.12625002434134264
CSP0197,3676,2139,30055.516050054408,395,0,Callum Scott Parrish,CSP0197,37,44,17,13,26,1,0,0.15570767957973775
CTA0020,3640,2135,29958.48104395604,546,0,Curran Tarik Ayala,CTA0020,36,50,11,22,34,1,0,0.11494496950798455
CTR0341,1467,899,30059.0572597137,315,425,Cairo Theodore Robles,CTR0341,45,39,23,13,28,1,0,0.11965533165948672
CTR0697,334,233,28874.176646706583,64,0,Cherokee Tashya Ramirez,CTR0697,36,15,33,25,34,1,0,0.09622638017973456
CTW0500,4974,3969,30084.474467229596,628,0,Chanda Tamekah William,CTW0500,38,36,20,35,35,1,0,0.09632904845590756
CUD0795,3023,2502,30136.143235196825,290,0,Charity Uta Daniels,CUD0795,12,40,30,44,24,1,0,0.10090287834061423
CWB0065,2985,1451,29808.77118927973,737,0,Chadwick Wayne Bond,CWB0065,50,33,14,20,23,1,0,0.12223503429206745
CWR0502,4677,2527,29971.29762668377,659,0,Colt Walter Reynolds,CWR0502,41,49,25,45,27,1,0,0.12066868126281294
CXC0336,1000,434,29963.956,197,0,Casey Xerxes Conrad,CXC0336,23,19,34,35,34,1,0,0.14396540299991434
CYA0506,301,0,30156.382059800664,3,0,Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,1,0,0.1042397998131736
DAG0558,2983,1054,29920.059671471678,15,0,Deirdre Amaya Garcia,DAG0558,20,16,37,25,26,1,0,0.1425089314691233
DAL0673,3008,1490,29781.547872340427,536,0,Demetrius Alvin Levy,DAL0673,39,35,46,41,36,1,0,0.13149466618950428
DAR0885,109,60,28966.211009174312,0,35,Devin Abdul Rogers,DAR0885,43,43,44,41,25,1,0,0.05336309427501773
DBB0384,3001,648,30375.617794068643,412,0,Demetrius Barry Bullock,DBB0384,40,41,28,37,27,1,0,0.16853252593194995
DBG0261,3011,1000,30153.115576220524,467,0,Devin Brett Guzman,DBG0261,45,47,17,36,28,1,0,0.1570827559961166
DBS0235,3034,657,29941.48121292024,433,0,Dale Benjamin Sharpe,DBS0235,30,38,18,37,33,1,0,0.16884323849245703
DBW0483,5068,1862,30121.217442778216,624,0,Deborah Barbara White,DBW0483,17,16,25,21,37,1,0,0.11871068383267075
DCC0160,6027,2160,29868.06719761075,922,0,Donovan Carlos Chapman,DCC0160,36,39,33,42,27,1,0,0.1184780168483302
DCH0843,281,113,29451.92170818505,38,0,Dominic Calvin Hewitt,DCH0843,20,31,11,18,36,1,0,0.07050552065148707
DDA0476,5045,2182,29936.70882061447,493,0,Dane Davis Atkins,DDA0476,36,25,39,13,39,1,0,0.12658304919903018
DDM0579,337,0,30285.905044510386,24,0,Dale Dorian Mercado,DDM0579,33,45,30,37,26,1,0,0.1372769680604033
DEB0782,1004,495,30315.220119521917,91,0,Dakota Edward Brady,DEB0782,42,47,32,21,36,1,0,0.1302567579372388
DFH0188,1012,221,29772.954545454544,170,0,Dean Flynn Hines,DFH0188,35,40,18,38,24,1,0,0.158077662265049
DFR0218,3725,752,29949.368590604023,880,0,Daria Felicia Rowland,DFR0218,45,14,22,37,27,1,0,0.1381328429179724
DGF0443,3007,0,30321.28134353176,373,0,Dustin Gage Franco,DGF0443,39,44,18,28,33,1,0,0.15186916541178253
DGM0754,431,0,29876.960556844548,88,0,Declan Gareth Mclaughlin,DGM0754,42,18,42,24,24,1,0,0.14084101043694935
DGN0480,4798,1810,29884.484993747395,547,0,Donovan Garth Nieves,DGN0480,21,25,44,20,31,1,0,0.1405417129909005
DGW0752,4986,4103,29981.03690332932,811,0,Dennis Gray Wilson,DGW0752,40,46,20,40,14,1,0,0.03261049495840673
DHM0937,3025,1085,30221.165619834712,725,0,Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,1,0,0.15088516966602067
DIB0081,1418,1125,29842.422425952045,232,0,Drew Ivan Beck,DIB0081,34,45,14,28,33,1,0,0.15253224124671777
DIB0285,1613,618,29603.968381897088,0,0,Deanna Imelda Blanchard,DIB0285,13,45,17,50,29,1,0,0.05037589740146198
DIC0988,3007,0,30218.38044562687,428,0,Dolan Igor Cortez,DIC0988,44,30,23,21,32,1,0,0.16659958840668776
DID0650,1022,0,29741.07925636008,218,0,Denise Ifeoma Doyle,DID0650,45,21,17,42,21,1,0,0.11629262542386387
DIW0118,4658,2401,29973.02189781022,1221,0,Delilah Iliana Wilkinson,DIW0118,37,17,19,37,26,1,0,0.08416756781771051
DJB0159,6351,3361,29939.68650606204,1670,0,Dacey Jorden Bowen,DJB0159,20,37,27,38,37,1,0,0.004986301178904751
DJS0682,3003,0,29591.84348984349,42,0,Dexter Jamal Simon,DJS0682,22,23,36,13,30,1,0,0.12225850988126125
DKB0631,1007,486,30020.219463753725,239,0,Dai Keely Bullock,DKB0631,34,18,14,46,31,1,0,0.12410568783430737
DLF0377,3025,1056,30016.849586776854,561,0,Dean Lester Figueroa,DLF0377,39,35,19,27,34,1,0,0.18054126119279978
DLH0029,3040,573,30006.4125,356,0,Diana Leigh Hays,DLH0029,36,26,38,18,31,1,0,0.18456454653316762
DLM0051,7573,4050,29955.738676878384,2047,1550,Declan Lester Moss,DLM0051,37,37,17,20,35,-1,1,-0.08016164826462102
DLS0383,2987,2372,29819.82222966187,455,0,Diana Lillian Solis,DLS0383,10,21,12,25,24,1,0,0.09680150595155218
DMG0358,3691,2880,29769.944188566784,469,0,Dorothy Marny Goff,DMG0358,19,39,14,25,29,1,0,0.11865370134763575
DMK0257,3008,2162,30008.71143617021,564,0,Desirae Mari Koch,DMK0257,33,20,26,26,30,1,0,0.17435911102800938
DMM0623,5217,4034,30017.347517730497,792,41,Doris Mona Michael,DMM0623,36,27,21,39,30,1,0,0.08854613041111675
DOL0332,1008,595,30092.204365079364,194,0,Damian Omar Le,DOL0332,32,40,41,18,24,1,0,0.16411747552433398
DOP0562,2986,1036,30373.71131949096,59,0,Daryl Ocean Patel,DOP0562,42,16,37,39,31,1,0,0.1261459907311807
DPM0423,3017,2215,30015.84388465363,384,0,Dalton Perry Mejia,DPM0423,37,38,38,15,27,1,0,0.18049947210601391
DPS0262,946,184,29947.14799154334,169,0,Delilah Pearl Schneider,DPS0262,20,25,20,14,32,1,0,0.14627934940188553
DRR0162,2737,1376,30140.57544757033,587,0,Dante Raja Roberts,DRR0162,45,36,20,36,29,1,0,0.17444559610557503
DRR0242,3836,728,29654.997132429613,457,809,Daphne Ruby Reilly,DRR0242,39,19,40,41,33,1,0,0.05549441068962724
DSB0731,4936,1719,30071.41673419773,744,0,Daryl Skyler Brock,DSB0731,26,15,40,43,30,1,0,0.11789721151626031
DSM0591,338,0,30326.42307692308,22,0,Daria Samantha Mcbride,DSM0591,20,35,18,43,35,1,0,0.1214407863857821
DTP0379,3311,1989,30103.330715795837,562,0,Daquan Tucker Pugh,DTP0379,45,42,15,37,27,1,0,0.16324722208224673
DTT0076,6019,0,29964.330785844824,1103,0,Dylan Tiger Terry,DTT0076,42,16,34,24,28,1,0,0.08255588473671549
DVM0265,3022,1543,29949.91197882197,686,0,Deborah Victoria Mcclure,DVM0265,47,40,10,24,31,1,0,0.13763264536372022
DVW0103,3049,0,30001.977041653,493,0,Dante Vaughan Weber,DVW0103,40,45,44,21,29,1,0,0.1572007219097597
DZC0228,3032,670,30021.259234828496,413,0,Declan Zachery Caldwell,DZC0228,37,37,34,21,38,1,0,0.1611102802027216
EAH0466,34,19,32047.029411764703,4,0,Ethan Arden Hays,EAH0466,41,38,29,38,25,1,0,0.06395573285896683
EBC0390,3018,0,29919.63916500994,405,0,Eaton Burton Crane,EBC0390,40,40,40,22,33,1,0,0.1698018462386991
ECF0828,207,0,30836.328502415457,35,0,Erasmus Cameron Franco,ECF0828,40,49,39,40,35,1,0,0.080588401740748
ECL0930,3041,1957,29988.185794146662,756,0,Edan Ciaran Larson,ECL0930,28,24,40,18,29,1,0,0.15437313770342342
ECR0822,339,0,30492.76401179941,44,0,Ella Cassandra Rivera,ECR0822,16,19,17,23,29,1,0,0.11185930698620572
EDA0684,304,234,30735.21052631579,3,0,Edward Dean Anthony,EDA0684,38,42,40,39,33,1,0,0.11219598996190522
EDB0714,255,140,31359.07843137255,34,0,Eden Deborah Ball,EDB0714,21,23,35,26,29,1,0,0.09182843710485988
EFS0882,1009,0,29703.298315163527,0,0,Edward Finn Stokes,EFS0882,40,40,47,25,27,1,0,0.1234070401613302
EGD0132,195,38,28812.51794871795,1,0,Eric Gray Duncan,EGD0132,37,38,33,15,22,1,0,0.06883494085322317
EGD0409,1239,623,30322.63599677159,176,0,Elijah Gary Diaz,EGD0409,39,40,22,35,33,1,0,0.16690616154790894
EGK0893,997,175,29775.58776328987,0,0,Eagan Gannon Koch,EGK0893,21,30,11,47,27,1,0,0.09768541419243276
EHB0420,3767,2107,29888.35996814441,558,703,Erich Harding Bryant,EHB0420,45,42,38,17,20,1,0,0.05445733641765782
EHB0824,153,32,29883.49019607843,15,0,Eugenia Hannah Blanchard,EHB0824,46,39,22,44,31,1,0,0.13468807325543164
EHD0584,208,139,31165.466346153848,15,0,Ezra Hilel Dyer,EHD0584,38,40,42,43,22,1,0,0.061359754555314505
EHR0096,3019,0,29936.513083802583,529,0,Elaine Hanna Raymond,EHR0096,22,13,20,48,31,1,0,0.11556987992452283
EIM0156,3014,2086,29780.590909090908,625,0,Eve Isadora Mckenzie,EIM0156,19,31,43,45,33,1,0,0.1024699473240841
EIP0997,3017,0,29847.39343718926,391,0,Emily Illana Perry,EIP0997,42,28,20,25,34,1,0,0.15914053219995344
EIS0041,3287,1999,29696.331305141463,848,0,Emerald Imani Schmidt,EIS0041,41,44,17,48,30,1,0,0.1046352255370529
EJW0884,1026,184,29276.152046783627,0,0,Elton Jonas Williamson,EJW0884,46,20,32,26,31,1,0,0.11592929614704711
ELB0847,336,92,29089.541666666668,43,0,Emmanuel Lawrence Briggs,ELB0847,12,17,16,19,28,1,0,0.06583921486564348
ELH0960,333,0,29676.67567567568,73,0,Emerald Lysandra Hodges,ELH0960,40,43,26,41,22,1,0,0.12901468704741237
ELT0769,1004,0,29956.96015936255,81,0,Echo Leandra Torres,ELT0769,19,20,20,27,35,1,0,0.14351926495711687
EMB0531,990,770,29869.156565656565,15,0,Edan Marsden Briggs,EMB0531,31,41,31,36,36,1,0,0.1527051816364668
EMS0317,4965,1661,29964.6612286002,829,0,Eden Merrill Stokes,EMS0317,15,21,44,10,31,1,0,0.09891314890528613
EMW0105,3646,0,29988.61546900713,0,0,Erich Malik Wolf,EMW0105,35,40,17,41,34,1,0,0.14915113809967034
EMW0772,998,240,30169.32264529058,89,0,Elvis Marshall Walton,EMW0772,46,41,20,12,28,1,0,0.14341782948647175
ENC0234,2268,434,29762.887566137568,282,0,Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,1,0,0.13736064377978097
ENL0100,3029,1016,30277.956751403104,552,0,Ella Nita Lewis,ENL0100,39,18,42,35,21,1,0,0.1344650357651993
EPW0434,3053,980,30156.94333442516,395,0,Ethan Perry Wiggins,EPW0434,32,36,38,22,33,1,0,0.1719070820724678
ERH0449,332,0,29935.91265060241,34,0,Ella Rachel Hess,ERH0449,44,15,35,17,25,1,0,0.1388002897683865
ESA0642,1004,0,29717.42131474104,193,0,Eliana Stephanie Albert,ESA0642,32,14,44,30,32,1,0,0.12712854598378898
ESH0135,327,239,29444.345565749238,8,0,Elaine Sonya Hughes,ESH0135,35,22,32,44,28,1,0,0.11899707764914613
ESH0283,3049,1499,30192.86552968186,0,0,Eve Shaeleigh Holman,ESH0283,44,30,35,18,31,1,0,0.16226031307727956
ESJ0670,4582,911,29792.792012221737,611,1159,Eaton Samuel Jennings,ESJ0670,42,31,15,40,24,1,0,0.007116392539618155
ESR0693,1475,1121,29841.882033898302,32,0,Evelyn Sarah Reilly,ESR0693,35,23,25,21,31,1,0,0.16537992126228246
ETR0177,3711,0,29906.211802748585,175,0,Emerson Tyrone Rojas,ETR0177,18,15,41,26,39,1,0,0.1117321912013407
ETR0428,3034,1623,29914.9545154911,465,0,Elton Tyler Richard,ETR0428,36,21,40,20,20,1,0,0.15287680603655168
EWH0191,4649,3413,29934.49386964939,1133,0,Eugenia Whilemina Harrington,EWH0191,33,17,22,23,27,1,0,0.08087607467893315
EZH0736,4974,1030,29901.06574185766,777,0,Elton Zeus Horton,EZH0736,44,41,37,19,31,1,0,0.14960060387553176
EZT0640,1015,854,30014.12512315271,222,0,Eagan Zephania Talley,EZT0640,12,15,27,39,27,1,0,0.12014959396923175
FAW0032,4723,1672,29895.6597501588,1007,0,Frances Alisa Wiggins,FAW0032,43,24,17,37,37,1,0,0.10666469693996211
FBA0348,4704,0,29755.021896258502,654,0,Francis Brian Armstrong,FBA0348,41,44,40,36,27,1,0,0.1300162605438832
FBW0747,5369,1013,30151.563792140063,885,283,Fuller Baker Warner,FBW0747,43,45,35,25,28,1,0,0.09910126800252628
FDE0117,4724,1759,29921.55397967824,642,0,Fritz Dale Ellison,FDE0117,38,37,32,41,28,1,0,0.15668802709476876
FEB0306,329,205,29587.49848024316,7,0,Flynn Edward Brennan,FEB0306,40,42,26,25,31,1,0,0.15089716936874908
FFC0891,566,406,29382.49469964664,0,0,Flavia Fiona Cannon,FFC0891,38,10,39,50,39,1,0,0.05443064338380488
FGW0853,4663,2933,29720.76088355136,679,0,Florence Gloria Whitney,FGW0853,25,35,20,40,39,1,0,0.08498350492765683
FHO0630,4993,3811,30227.601442018826,736,0,Frances Hermione Owens,FHO0630,28,44,23,12,26,1,0,0.06282739322378195
FHS0837,337,0,29538.299703264096,58,0,Fallon Harriet Shelton,FHS0837,23,37,14,42,34,1,0,0.1082906781418646
FIR0920,3006,2310,29875.65868263473,378,0,Fay Ingrid Rodriquez,FIR0920,40,11,44,20,27,1,0,0.13822478597657523
FKB0163,3032,519,30057.00395778364,664,0,Francis Kane Buckner,FKB0163,39,35,25,39,22,1,0,0.16244412766965727
FKK0055,4039,3275,30180.304283238427,345,1010,Farrah Kim Keith,FKK0055,46,16,37,16,27,1,0,0.009169356986115318
FLM0213,4668,1788,30106.586546700943,874,0,Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,1,0,0.10933240145768292
FMG0527,790,603,29279.64936708861,6,0,Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,1,0,0.11987117758961707
FOB0756,1242,654,30242.451690821257,141,213,Ferris Omar Barry,FOB0756,42,41,34,20,27,1,0,0.13962506588823875
FPC0954,340,0,29271.435294117648,76,0,Fletcher Perry Cantu,FPC0954,22,25,50,20,27,1,0,0.08233381073813612
FQA0854,5005,2514,30148.99080919081,712,0,Fulton Quinn Avery,FQA0854,41,38,30,34,26,1,0,0.1445698564046124
FRB0023,3668,2722,29924.799890948747,842,0,Felicia Rhona Butler,FRB0023,45,14,12,14,14,1,0,0.045930555620408264
FRL0511,1004,864,29554.8187250996,17,0,Ferdinand Rashad Lee,FRL0511,20,30,47,20,30,1,0,0.10312512573002763
FRR0832,336,329,30235.45833333333,62,0,Forrest Rashad Richards,FRR0832,43,40,25,19,30,1,0,0.15475636839322127
FSB0399,2924,1109,30114.27872777018,367,0,Ferris Stone Bender,FSB0399,23,22,15,37,26,1,0,0.14529969008053728
FSC0601,4180,853,30045.093779904302,590,0,Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,1,0,0.16962911886279874
FTM0406,2136,0,29977.923689138577,351,0,Finn Tucker Medina,FTM0406,31,15,38,16,34,1,0,0.14966046870613292
FUM0015,6114,4528,29969.42508995748,740,0,Fatima Ulla Mcclure,FUM0015,33,18,18,46,32,1,0,0.04050898303957051
FWM0707,333,235,30052.594594594597,58,0,Fitzgerald Wayne Miranda,FWM0707,50,36,35,18,34,1,0,0.13419364167501896
FXF0957,335,136,30855.853731343283,62,0,Felicia Xantha Farley,FXF0957,35,25,47,36,28,1,0,0.08478420545998144
GAF0060,3031,2458,29962.312108215112,444,0,Grace Alma Fry,GAF0060,41,16,39,25,22,1,0,0.13175635444129719
GAF0570,3003,1741,30082.54478854479,30,0,Gwendolyn Amaya Ferrell,GAF0570,31,15,38,46,35,1,0,0.11565368582996882
GBM0603,4673,1829,29701.451530066337,769,0,Galena Britanney Merritt,GBM0603,39,42,42,24,37,1,0,0.10362381861074627
GCC0744,5063,0,29928.084534860755,867,0,Grady Craig Coffey,GCC0744,35,42,15,25,31,1,0,0.13508115851281277
GCC0945,337,79,29373.78041543027,78,0,George Cade Chen,GCC0945,30,39,18,25,27,1,0,0.12065210666295312
GCG0951,375,192,29551.234666666667,79,0,Grant Camden Gay,GCG0951,33,33,25,19,44,1,0,0.09351546606719974
GCL0016,4126,2083,30083.881483276786,512,438,Gil Calvin Lindsay,GCL0016,45,32,20,24,34,1,0,0.10844842316554981
GCR0554,3008,1319,29740.158909574468,349,0,Grace Charde Roth,GCR0554,16,16,41,23,37,1,0,0.1211575481329002
GCS0518,1001,0,30078.754245754244,14,0,Gregory Curran Sutton,GCS0518,41,36,23,38,21,1,0,0.1442393939353359
GCS0571,332,65,30165.70180722892,25,0,Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,1,0,0.14131782676797938
GDF0704,338,244,30524.95562130177,59,0,Galena Deborah Francis,GDF0704,25,13,21,29,36,1,0,0.10065286762641079
GHH0288,336,220,30564.61011904762,9,0,Genevieve Hyacinth Head,GHH0288,12,36,40,36,30,1,0,0.09909430190634783
GHL0460,217,112,28555.870967741936,32,0,Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,1,0,0.05780417938492299
GJD0298,339,297,31034.71681415929,3,0,Grady Jordan Duran,GJD0298,43,39,12,40,27,1,0,0.06380781502312283
GJT0386,2998,506,29662.53435623749,480,0,Geoffrey Jin Tucker,GJT0386,24,13,49,34,26,1,0,0.09441532199123681
GKO0078,6000,4144,29829.492,1454,0,Gage Kaden Odonnell,GKO0078,44,46,21,24,29,1,0,0.02671238378256946
GLR0975,3687,2945,30030.491998915106,539,0,Garrison Levi Rollins,GLR0975,33,44,26,24,24,1,0,0.14039194004091993
GMF0738,5036,0,30129.48729150119,736,0,Gray Mason Fulton,GMF0738,30,40,45,20,18,1,0,0.08923841719005476
GNS0178,2947,1923,29987.57312521208,538,0,Garrett Nicholas Solomon,GNS0178,30,17,42,26,33,1,0,0.15317984688747938
GNZ0953,334,282,29780.51497005988,73,0,Graiden Nehru Zimmerman,GNZ0953,26,18,26,36,29,1,0,0.1499420724276555
GOK0238,2104,0,30257.27614068441,261,0,Garrett Omar Kelly,GOK0238,33,43,27,40,33,1,0,0.1437139232326351
GQF0659,1002,202,30190.42714570858,205,0,Gisela Quintessa Fischer,GQF0659,40,16,30,29,28,1,0,0.15273261349531836
GQP0743,4978,3470,29937.00341502612,651,0,Gil Quincy Potter,GQP0743,47,39,19,39,25,1,0,0.09789436377733396
GRC0145,3624,2651,29922.64348785872,233,0,Gay Ria Cantu,GRC0145,30,43,24,46,27,1,0,0.11511275709393975
GRM0868,5078,0,30044.56025994486,752,0,Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,1,0,0.13447472105987113
GTD0116,4699,955,30078.723983826345,960,0,Grant Tyrone Doyle,GTD0116,43,19,45,20,31,1,0,0.11876428620317953
GTD0219,1262,705,30380.007131537244,317,0,Gareth Thomas Dickson,GTD0219,40,40,19,30,33,1,0,0.16196784930332386
GTD0898,1003,0,30146.3110667996,0,0,Guy Tad Daniel,GTD0898,23,23,39,15,29,1,0,0.15035519501465439
GZB0469,334,139,30556.89520958084,44,0,George Zachery Burch,GZB0469,46,39,22,45,28,1,0,0.11361873239291048
GZC0735,5847,3504,30169.38515478023,811,643,Guy Zeus Chandler,GZC0735,44,16,15,27,25,1,0,0.008136968991316329
HAC0282,2989,1260,30218.03680160589,0,0,Hakeem Arden Curry,HAC0282,37,32,38,12,28,1,0,0.14849083627125925
HAD0246,4820,2781,29954.09253112033,759,1377,Holmes Arden Day,HAD0246,44,39,32,45,38,-1,1,-0.006304171318070706
HAH0248,2985,1189,30231.27269681742,323,0,Hector Abraham Hayes,HAH0248,33,43,22,18,29,1,0,0.1681514481451427
HAH0760,998,607,29578.74749498998,100,0,Hilda Alice Hahn,HAH0760,34,17,22,37,30,1,0,0.14611876176279842
HAM0985,3050,1297,29835.737049180327,521,0,Hillary Ainsley Mccormick,HAM0985,20,17,29,16,20,1,0,0.12956629615322562
HAV0121,3056,0,30081.69011780105,546,0,Hu Akeem Vincent,HAV0121,46,43,38,37,27,1,0,0.15924883289505898
HBB0056,2989,1098,30184.33857477417,305,0,Hayden Bernard Benson,HBB0056,37,33,30,21,27,1,0,0.17899269459694572
HBO0413,2840,0,29754.79330985916,359,0,Harper Basil Obrien,HBO0413,41,35,18,15,18,1,0,0.11537618386695836
HCC0344,1000,698,30351.186,177,0,Hayley Carolyn Cunningham,HCC0344,25,11,41,26,22,1,0,0.11304297100813065
HCL0113,3039,1007,30244.928923988155,0,0,Hyacinth Clare Lindsay,HCL0113,43,22,40,39,34,1,0,0.1351359582968235
HCL0651,1017,552,29671.649950835792,195,0,Heather Cynthia Leonard,HCL0651,21,19,44,36,33,1,0,0.1254505687528541
HCM0267,3021,1748,29986.284011916585,659,0,Hall Colorado Morin,HCM0267,36,45,39,20,32,1,0,0.16550270144069523
HCS0003,9097,7372,30208.924810377048,843,0,Halla Cathleen Simmons,HCS0003,35,28,14,15,30,1,0,7.728321081157397e-05
HCV0478,5036,2760,29858.10901509134,599,0,Harper Clark Vazquez,HCV0478,46,36,18,12,24,1,0,0.12236503102409946
HCW0419,3054,2166,30204.793713163064,410,0,Hermione Casey Witt,HCW0419,40,21,35,34,35,1,0,0.1584030381094067
HDD0789,4727,1651,30141.87645441083,731,0,Hashim Damon Dudley,HDD0789,44,39,30,10,29,1,0,0.13594606369166023
HDD0806,4143,758,30197.750663770214,933,1022,Hedwig Dai Duffy,HDD0806,47,28,36,19,38,1,0,0.02152835389462182
HDH0928,3043,2414,30088.231350640814,432,0,Hashim Damon Hebert,HDH0928,40,36,20,40,26,1,0,0.1717839650544285
HDJ0446,337,173,29251.637982195847,57,0,Hope Dawn Jensen,HDJ0446,18,17,45,27,35,1,0,0.08234513138481359
HDL0748,5016,0,30051.942384370017,722,0,Hedy Delilah Lopez,HDL0748,25,13,46,41,25,1,0,0.08923957677075434
HDS0367,3626,2764,29930.79950358522,476,0,Hayes Drake Stephenson,HDS0367,50,42,16,30,19,1,0,0.09463955346385716
HFB0347,767,165,29880.810951760104,144,19,Heather Fredericka Baird,HFB0347,34,20,30,30,27,1,0,0.1626356683048823
HGG0240,3021,1124,30037.060575968226,518,0,Hedda Grace Gordon,HGG0240,20,26,24,36,31,1,0,0.1691736523232742
HGH0595,336,0,30396.1875,35,0,Hanae Gay Hogan,HGH0595,41,14,22,39,29,1,0,0.12772397279342496
HGN0287,3371,2017,29845.319489765647,0,0,Halla Germaine Nolan,HGN0287,45,30,18,18,27,1,0,0.14592087844325924
HIA0414,3007,1283,30156.970734951778,462,0,Herman Ian Abbott,HIA0414,38,39,39,18,31,1,0,0.1866565844342783
HIW0536,4713,812,29986.788033099936,604,0,Honorato Ivan Wall,HIW0536,39,50,25,24,20,1,0,0.12461033068967498
HJA0018,3712,2426,29948.258890086207,572,0,Honorato Joseph Adkins,HJA0018,39,43,47,37,32,1,0,0.136046673163345
HJB0742,3494,1754,29763.979107040643,660,0,Harlan Jason Benjamin,HJB0742,41,40,16,21,30,1,0,0.15352734008202773
HJS0072,216,157,29555.75,32,16,Honorato John Sloan,HJS0072,44,42,19,19,31,1,0,0.13134463452407164
HKB0418,2922,0,30222.4363449692,394,0,Halee Kim Burnett,HKB0418,50,18,13,26,27,1,0,0.12278986178402296
HKF0831,336,254,29894.27083333333,53,0,Hiroko Kiona Faulkner,HKF0831,23,42,49,21,24,1,0,0.1228771201092052
HKI0171,4971,3344,29846.282236974454,955,0,Halla Kendall Irwin,HKI0171,31,17,30,45,27,1,0,0.08353488535461667
HKR0628,4998,3694,29915.092837134853,842,0,Halee Keiko Rhodes,HKR0628,21,16,17,16,25,1,0,0.07361941682232231
HLH0512,1425,753,29790.49052631579,24,396,Hadassah Leah Harris,HLH0512,15,42,36,22,32,1,0,0.0642218433862739
HLM0933,3050,1147,30113.527540983607,599,0,Hadley Leandra May,HLM0933,36,24,23,43,30,1,0,0.1639854775446647
HMM0108,540,308,29448.185185185182,0,0,Hakeem Mason Mccall,HMM0108,33,41,17,43,25,1,0,0.12183960600515703
HMW0713,335,135,29434.52537313433,57,0,Heidi Mia Wilson,HMW0713,38,24,40,36,28,1,0,0.14757290116299082
HOB0994,2979,1063,30065.439744880838,634,0,Harrison Oscar Burke,HOB0994,38,39,15,43,33,1,0,0.15447472415365876
HPH0075,7435,4528,29988.672091459317,1179,1075,Harper Price Harris,HPH0075,40,42,48,25,28,-1,1,-0.04365242765540256
HPM0986,4697,0,29755.77070470513,795,0,Hasad Paki Mcfadden,HPM0986,41,36,38,23,24,1,0,0.13280973062689805
HPR0585,336,223,29794.818452380958,36,0,Hillary Piper Riddle,HPR0585,34,46,15,46,35,1,0,0.10227766738426569
HRB0351,6750,1404,30073.974074074074,1122,574,Hadassah Riley Baker,HRB0351,19,12,43,42,36,-1,1,-0.011552488195334498
HRD0635,269,215,30413.18215613383,51,0,Hadley Rhona Dillon,HRD0635,24,35,18,32,24,1,0,0.135640663788554
HRL0540,2988,1721,29877.972222222223,779,0,Hedwig Regina Livingston,HRL0540,43,38,17,40,18,1,0,0.10892976773100793
HRW0550,3019,1190,29924.67340178867,421,0,Howard Raphael Weiss,HRW0550,38,34,24,22,28,1,0,0.1891718901780876
HSB0196,5103,2806,30010.10444836371,496,1307,Hadley Sonya Bowen,HSB0196,44,13,43,30,33,-1,1,-0.011873292009446423
HSD0457,336,68,30590.58035714286,30,0,Hollee Shannon Dudley,HSD0457,38,19,20,42,27,1,0,0.12027804967861289
HSG0818,3038,1156,30126.59776168532,642,0,Harrison Samuel Gonzales,HSG0818,18,19,48,36,31,1,0,0.1173473452299098
HSP0290,338,176,30887.53846153846,7,0,Hakeem Stephen Peck,HSP0290,38,15,28,20,27,1,0,0.09920091857214042
HTF0641,1019,778,29322.38959764475,214,0,Hilel Tobias Flynn,HTF0641,38,24,18,22,28,1,0,0.12412775604126047
